Event	ID	Name			Wwise Object Path	Notes
	154466876	paperputdown			\Default Work Unit\paper\paperputdown	
	199363535	UIHover			\Default Work Unit\UI\UIHover	
	1004479608	Gasp			\Default Work Unit\Crowd\Gasp	
	1097468465	Laughter			\Default Work Unit\Crowd\Laughter	
	1383581158	AnswerWrong			\Default Work Unit\Quiz\AnswerWrong	
	1404805401	DoorOpen			\Default Work Unit\DoorOpen	
	1425765504	swishknife			\Default Work Unit\knife\swishknife	
	1816659375	UISelect			\Default Work Unit\UI\UISelect	
	1894362767	Foot_Player			\Default Work Unit\Foot_Player	
	2468841472	stabknife			\Default Work Unit\knife\stabknife	
	2936962349	turnpage			\Default Work Unit\paper\turnpage	
	4141430720	Cheer			\Default Work Unit\Crowd\Cheer	
	4209927537	paperpickup			\Default Work Unit\paper\paperpickup	
	4230375851	AnswerRight			\Default Work Unit\Quiz\AnswerRight	

Switch Group	ID	Name			Wwise Object Path	Notes
	4050929301	Materials			\Default Work Unit\Materials	

Switch	ID	Name	Switch Group			Notes
	841620460	Concrete	Materials			
	1153642577	flesh	Materials			
	2058049674	Wood	Materials			
	2412606308	Carpet	Materials			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	683403168	fs_carpet-002	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\footsteps\carpet\fs_carpet-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\carpet\fs_carpet-002		202372
	726650198	pageturning-002	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Paper\pageturning\pageturning-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Paper\pageturning\pageturning-002		251644
	735135065	RightAnswer	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Quiz\RightAnswer_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Quiz\RightAnswer		433972
	749357755	fs_carpet-001	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\footsteps\carpet\fs_carpet-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\carpet\fs_carpet-001		205316
	751644510	Laughter-002	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Crowd\Laughter\Laughter-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Crowd\Laughter\Laughter-002		917404
	751797262	stab-002	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\stab\stab-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\knife\stab\impact\stab-002		218420
	754200927	putdown-004	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Paper\putdown\putdown-004_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Paper\putdown\putdown-004		258580
	759723383	fs_carpet-004	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\footsteps\carpet\fs_carpet-004_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\carpet\fs_carpet-004		205348
	761654058	UI_select-001	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\UI\UI_select\UI_select-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\UI_select\UI_select-001		190380
	854819160	fs_concrete_002	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\concretefootsteps\concretefootstep-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\concrete\fs_concrete_002		203392
	873499890	fs_concrete_004	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\concretefootsteps\concretefootstep-004_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\concrete\fs_concrete_004		202080
	876801687	door-002	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\door\door-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\door\door-002		282304
	878497001	CrowdCheer-001	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Crowd\Cheer\CrowdCheer-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Crowd\Cheer\CrowdCheer-001		1513576
	905285825	fs_wood-005	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\footsteps\wood\fs_wood-005_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\wood\fs_wood-005		218604
	942021867	fs_wood-001	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\footsteps\wood\fs_wood-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\wood\fs_wood-001		235440
	953523439	stab-001	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\stab\stab-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\knife\stab\impact\stab-001		248016
	969311148	UI_select-004	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\UI\UI_select\UI_select-004_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\UI_select\UI_select-004		187216
	1001610876	CrowdCheer-004	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Crowd\Cheer\CrowdCheer-004_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Crowd\Cheer\CrowdCheer-004		328812
	1005660588	pageturning-004	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Paper\pageturning\pageturning-004_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Paper\pageturning\pageturning-004		339992
	1018317239	WrongAnswer	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Quiz\WrongAnswer_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Quiz\WrongAnswer		328812
	1020413822	gasp-002	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Crowd\Gasp\gasp-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Crowd\Gasp\gasp-002		359880

